19시 10분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 46초  all   31.41    0.00    7.64   20.63    0.00    3.14    0.00    0.00    0.00   37.18
19시 10분 46초    0   33.33    0.00    9.80   20.59    0.00    4.90    0.00    0.00    0.00   31.37
19시 10분 46초    1   19.59    0.00    8.25   22.68    0.00    3.09    0.00    0.00    0.00   46.39
19시 10분 46초    2   25.74    0.00    2.97   21.78    0.00    2.97    0.00    0.00    0.00   46.53
19시 10분 46초    3   25.77    0.00   12.37   30.93    0.00    9.28    0.00    0.00    0.00   21.65
19시 10분 46초    4   76.00    0.00    3.00    6.00    0.00    2.00    0.00    0.00    0.00   13.00
19시 10분 46초    5   42.86    0.00    7.14   16.33    0.00    1.02    0.00    0.00    0.00   32.65
19시 10분 46초    6   22.11    0.00    8.42   18.95    0.00    2.11    0.00    0.00    0.00   48.42
19시 10분 46초    7   20.20    0.00    8.08   23.23    0.00    4.04    0.00    0.00    0.00   44.44
19시 10분 46초    8   22.68    0.00    7.22   26.80    0.00    1.03    0.00    0.00    0.00   42.27
19시 10분 46초    9   27.37    0.00    9.47   16.84    0.00    1.05    0.00    0.00    0.00   45.26
19시 10분 46초   10   26.60    0.00    7.45   24.47    0.00    2.13    0.00    0.00    0.00   39.36
19시 10분 46초   11   33.01    0.00    7.77   19.42    0.00    3.88    0.00    0.00    0.00   35.92

19시 10분 46초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 47초  all   33.33    0.00    7.91   18.52    0.00    3.20    0.00    0.00    0.00   37.04
19시 10분 47초    0   24.51    0.00    6.86   19.61    0.00    4.90    0.00    0.00    0.00   44.12
19시 10분 47초    1   47.52    0.00   10.89   17.82    0.00    0.99    0.00    0.00    0.00   22.77
19시 10분 47초    2   23.47    0.00    6.12   24.49    0.00    3.06    0.00    0.00    0.00   42.86
19시 10분 47초    3   51.04    0.00    7.29   17.71    0.00    7.29    0.00    0.00    0.00   16.67
19시 10분 47초    4   32.67    0.00    8.91   16.83    0.00    3.96    0.00    0.00    0.00   37.62
19시 10분 47초    5   50.52    0.00    7.22    9.28    0.00    1.03    0.00    0.00    0.00   31.96
19시 10분 47초    6   25.25    0.00    8.08   20.20    0.00    2.02    0.00    0.00    0.00   44.44
19시 10분 47초    7   18.63    0.00    7.84   23.53    0.00    3.92    0.00    0.00    0.00   46.08
19시 10분 47초    8   26.80    0.00    8.25   24.74    0.00    2.06    0.00    0.00    0.00   38.14
19시 10분 47초    9   32.00    0.00    8.00   16.00    0.00    3.00    0.00    0.00    0.00   41.00
19시 10분 47초   10   33.67    0.00    8.16   17.35    0.00    3.06    0.00    0.00    0.00   37.76
19시 10분 47초   11   35.05    0.00    7.22   14.43    0.00    3.09    0.00    0.00    0.00   40.21

19시 10분 47초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 48초  all   29.15    0.00    6.71   20.38    0.00    3.18    0.00    0.00    0.00   40.58
19시 10분 48초    0   19.19    0.00    5.05   25.25    0.00    4.04    0.00    0.00    0.00   46.46
19시 10분 48초    1   18.00    0.00    6.00   24.00    0.00    3.00    0.00    0.00    0.00   49.00
19시 10분 48초    2   15.62    0.00    6.25   26.04    0.00    3.12    0.00    0.00    0.00   48.96
19시 10분 48초    3   32.63    0.00    9.47   25.26    0.00    8.42    0.00    0.00    0.00   24.21
19시 10분 48초    4   30.53    0.00    7.37   20.00    0.00    2.11    0.00    0.00    0.00   40.00
19시 10분 48초    5   93.94    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19시 10분 48초    6   16.13    0.00    5.38   24.73    0.00    4.30    0.00    0.00    0.00   49.46
19시 10분 48초    7   21.43    0.00    5.10   28.57    0.00    2.04    0.00    0.00    0.00   42.86
19시 10분 48초    8   16.84    0.00    5.26   23.16    0.00    1.05    0.00    0.00    0.00   53.68
19시 10분 48초    9   30.61    0.00   10.20   14.29    0.00    3.06    0.00    0.00    0.00   41.84
19시 10분 48초   10   30.30    0.00    8.08   14.14    0.00    4.04    0.00    0.00    0.00   43.43
19시 10분 48초   11   22.92    0.00    6.25   19.79    0.00    3.12    0.00    0.00    0.00   47.92

19시 10분 48초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 49초  all   33.19    0.00    8.34   19.40    0.00    2.64    0.00    0.00    0.00   36.43
19시 10분 49초    0   26.53    0.00    7.14   25.51    0.00    5.10    0.00    0.00    0.00   35.71
19시 10분 49초    1   25.77    0.00    7.22   23.71    0.00    1.03    0.00    0.00    0.00   42.27
19시 10분 49초    2   22.45    0.00    8.16   24.49    0.00    2.04    0.00    0.00    0.00   42.86
19시 10분 49초    3   34.38    0.00    9.38   20.83    0.00    7.29    0.00    0.00    0.00   28.12
19시 10분 49초    4   82.52    0.00   10.68    0.97    0.00    0.00    0.00    0.00    0.00    5.83
19시 10분 49초    5   38.46    0.00    6.59   13.19    0.00    2.20    0.00    0.00    0.00   39.56
19시 10분 49초    6   23.47    0.00   11.22   25.51    0.00    2.04    0.00    0.00    0.00   37.76
19시 10분 49초    7   21.43    0.00    8.16   24.49    0.00    4.08    0.00    0.00    0.00   41.84
19시 10분 49초    8   26.80    0.00    4.12   29.90    0.00    4.12    0.00    0.00    0.00   35.05
19시 10분 49초    9   27.27    0.00   12.12   15.15    0.00    1.01    0.00    0.00    0.00   44.44
19시 10분 49초   10   31.25    0.00    6.25   14.58    0.00    1.04    0.00    0.00    0.00   46.88
19시 10분 49초   11   35.58    0.00    8.65   15.38    0.00    1.92    0.00    0.00    0.00   38.46

19시 10분 49초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 50초  all   29.25    0.00    8.32   20.58    0.00    3.00    0.00    0.00    0.00   38.85
19시 10분 50초    0   20.83    0.00    8.33   27.08    0.00    3.12    0.00    0.00    0.00   40.62
19시 10분 50초    1   21.21    0.00    7.07   27.27    0.00    3.03    0.00    0.00    0.00   41.41
19시 10분 50초    2   20.00    0.00    7.00   27.00    0.00    3.00    0.00    0.00    0.00   43.00
19시 10분 50초    3   25.00    0.00   13.04   25.00    0.00    6.52    0.00    0.00    0.00   30.43
19시 10분 50초    4   69.39    0.00    6.12    6.12    0.00    1.02    0.00    0.00    0.00   17.35
19시 10분 50초    5   59.00    0.00    8.00    8.00    0.00    1.00    0.00    0.00    0.00   24.00
